source,item,status,mapping,decision,notes
XiaoMaColtAI/math-modeling-skill@e5d9313,references/roles/论文手/SKILL.md,FULL,roles/writing + writing/* + audit/*,吸收,证据先行、真实结果、规则优先保留
XiaoMaColtAI/math-modeling-skill@e5d9313,论文手/references/写作规范.md,FULL,writing/technical-style + abstract + result-writing,吸收,去模板化但不做“检测器规避”
XiaoMaColtAI/math-modeling-skill@e5d9313,论文手/references/章节模板.md,PARTIAL,writing/outline,保留思想,不固定章节模板，按问题与证据链组织
XiaoMaColtAI/math-modeling-skill@e5d9313,论文手/references/自审框架.md,FULL,audit/paper-review + final-review,吸收,数学/证据/可读性/过度宣称检查
XiaoMaColtAI/math-modeling-skill@e5d9313,论文手/references/英文化工作流.md,FULL,skills/writing/english-paper + roles/writing,吸收并独立重写,v0.1.5 增加独立 MCM/ICM 技术英文化、术语与数字/公式/引用一致性检查
XiaoMaColtAI/math-modeling-skill@e5d9313,论文手/references/论文格式规范.md,FULL,problem/competition-rules + competition-rule-profile + tools/docx/latex/pdf + final-review,规则外置吸收,v0.1.7 将当届官方规则做成 rule profile；固定内部图数/页数目标继续排除
XiaoMaColtAI/math-modeling-skill@e5d9313,references/Subagent调度.md,TRANSFORMED,qa/protocol.md + reviewer-contract.md,吸收,独立 reviewer 思想保留；无 Subagent 不再全局 BLOCKED
XiaoMaColtAI/math-modeling-skill@e5d9313,references/算法索引.md,FULL,references/algorithm-index.md + algorithm-dispatch.md,吸收,渐进加载与按问题族路由保留
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/01-优化算法说明.md,FULL,algorithm/linear-integer-optimization + nonlinear-optimization,吸收,优化大类已覆盖
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/02-预测类算法说明.md,FULL,time-series + supervised-learning + grey-forecasting,吸收,v0.1.3 补灰色预测
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/03-评价类算法说明.md,FULL,multi-criteria-evaluation + efficiency-analysis,吸收,v0.1.3 补 DEA/效率分析
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/04-图论与网络分析算法说明.md,FULL,network-routing,吸收,最短路/流/匹配/TSP-VRP 路由到统一图网络族
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/05-统计分析与数据处理算法说明.md,FULL,statistical-inference + unsupervised-learning + data-audit,吸收,统计/降维/聚类/预处理均有入口
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/06-综合类算法说明.md,FULL,stochastic-simulation + ode-dynamics + queueing + system-dynamics + cellular-automata + game-theory,吸收,v0.1.3 补排队/系统动力学/CA/博弈
XiaoMaColtAI/math-modeling-skill@e5d9313,assets/07-机器学习算法说明.md,FULL,supervised-learning + unsupervised-learning,吸收,算法级细分仍可继续向 RF/XGBoost/NN 下钻
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/figure/SKILL.md 方法论,FULL,figure-design + visualization-review + tools/figure,吸收,数据剖析→claim→选图→视觉审查逻辑已吸收；固定图数删除
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/figure/scripts/*,TRANSFORMED,tools/figure,能力目标择优、独立重实现,v0.1.6 扩展多文件/glob、raster/SVG/PDF、可配置 DPI/尺寸、丰富数据剖析、source/gray QA；不复制上游源码
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/paper_search/*,TRANSFORMED,tools/paper-search,融合实现,保留 OpenAlex + Crossref 公共双源，增加 DOI/高阈值模糊题名去重、年份/引用过滤和透明相关性排序
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/docx/*,TRANSFORMED,tools/docx,安全独立重实现,增加样式、关系、fields/hyperlinks、模板格式、自审和真实渲染；上游对应目录带限制性许可，不复制编辑源码
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/latex/*,TRANSFORMED,tools/latex,能力目标择优、独立重实现,增加工程 init、bibliography build、graphics/bib/ref 检查、字体/PDF 审计、显式可选规则阈值与 provenance
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/xlsx/*,TRANSFORMED,tools/xlsx,融合,保留工作簿/公式审计与受限读行，新增显式 LibreOffice 重算到新文件；不声称等价于全部 Excel 专有函数
XiaoMaColtAI/math-modeling-skill@e5d9313,tools/pdf/*,TRANSFORMED,tools/pdf,安全独立重实现,增加页面/字体/图像/矢量/bounds/render QA；上游相关目录带限制性许可，不复制表单/编辑源码
XiaoMaColtAI/math-modeling-skill@e5d9313,dsh-plugin/math-modeling-agent/*,EXCLUDED,—,主动排除,DeepSeek Harness 平台专用封装，不属于通用 Skill Hub 核心
XiaoMaColtAI/math-modeling-skill@e5d9313,.github / imgs / star-history / changelog,EXCLUDED,—,主动排除,仓库运营与展示元数据，不影响建模能力
han69611/math-modeling-skills@b5b98ae,00-system,TRANSFORMED,SKILL.md + qa/*,吸收,总规则拆为 Router/QA，审批/阶段权移除
han69611/math-modeling-skills@b5b98ae,01-start-mathmodel,EXCLUDED,mathmodel-pro Coach,主动排除,12阶段总流程与 Coach 重复
han69611/math-modeling-skills@b5b98ae,02-analysis-modeling,FULL,problem-analysis + model-selection,吸收,赛题分析与建模设计已深化
han69611/math-modeling-skills@b5b98ae,03-hypothesis,FULL,problem/hypothesis,吸收,假设理由/影响/验证/失效风险保留
han69611/math-modeling-skills@b5b98ae,03-model-selection,FULL,modeling/model-selection + algorithm/*,吸收并增强,由自动决策树升级为 Baseline+候选+算法族 dispatch
han69611/math-modeling-skills@b5b98ae,04-coding,FULL,coding/implementation,吸收,实现与最小纵向切片
han69611/math-modeling-skills@b5b98ae,04-coding-visual,FULL,implementation + figure-design,拆分吸收,代码与图表不再绑死
han69611/math-modeling-skills@b5b98ae,05-result-analysis,FULL,experiment/result-analysis,吸收,结果→比较→解释→意义
han69611/math-modeling-skills@b5b98ae,05-visualization,FULL,visualization/figure-design,吸收,claim 驱动选图
han69611/math-modeling-skills@b5b98ae,06-drawio,FULL,visualization/flowchart,吸收,只在真正有流程/决策结构时画图
han69611/math-modeling-skills@b5b98ae,06-experiment-manager,FULL,experiment/experiment-manager,吸收,Run/commit/参数/seed/淘汰原因可追溯
han69611/math-modeling-skills@b5b98ae,07-result-analysis,FULL,experiment/result-analysis + statistical-inference,吸收,Baseline/统计检验/异常/迭代逻辑
han69611/math-modeling-skills@b5b98ae,07-writing,FULL,writing/* + technical-style,吸收,写作结构与技术语言拆为专项 Skill
han69611/math-modeling-skills@b5b98ae,08-reviewer-mode,FULL,audit/paper-review,吸收,严格攻击数学/逻辑/证据/可读性
han69611/math-modeling-skills@b5b98ae,09-verify,FULL,audit/final-review,吸收,风险优先而非虚构官方评分
han69611/math-modeling-skills@b5b98ae,09-writing,FULL,writing/*,吸收,摘要/结果/大纲分别深化
han69611/math-modeling-skills@b5b98ae,10-innovation-engine,TRANSFORMED,modeling/innovation,吸收,创新路径保留；主观 Innovation Score 删除
han69611/math-modeling-skills@b5b98ae,11-reviewer-mode,FULL,audit/paper-review,吸收,9维审查核心已覆盖
han69611/math-modeling-skills@b5b98ae,12-verify,TRANSFORMED,audit/final-review,吸收,风险等级保留；100分制不当作官方评分
han69611/math-modeling-skills@b5b98ae,1start-mathmodel,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,2analysis-modeling,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,3coding-visual,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,4drawio,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,5writing,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,6verity,EXCLUDED,covered by v2-derived event skills,主动排除,Legacy 5阶段与新版能力重复，不保留重复入口
han69611/math-modeling-skills@b5b98ae,anti-ai-writing,TRANSFORMED,writing/technical-style,吸收,保留真实技术表达；删除机械禁句和“规避检测”导向
han69611/math-modeling-skills@b5b98ae,challenge-yourself,FULL,modeling/model-challenge,吸收,v0.1.3 补简化/替换/去掉/解释测试
han69611/math-modeling-skills@b5b98ae,cumcm-paper-writing,FULL,writing/* + audit/paper-review,吸收,结构、模型理由、结果解释、摘要与图表证据均覆盖
han69611/math-modeling-skills@b5b98ae,domain-knowledge,FULL,domain/domain-context,吸收,v0.1.3 补9大领域特有机制/陷阱/指标
han69611/math-modeling-skills@b5b98ae,innovation-engine,TRANSFORMED,modeling/innovation + model-challenge,吸收,创新路径保留，数字打分删除
han69611/math-modeling-skills@b5b98ae,latex-cjk-setup,FULL,tools/latex init-cjk + doctor/build,吸收并实现,提供 CJK smoke 模板并真实 XeLaTeX 编译验证，不把它当官方比赛模板
han69611/math-modeling-skills@b5b98ae,math-modeling,TRANSFORMED,Router + 48 event skills,吸收,综合大 Skill 被拆成渐进加载的专项能力
han69611/math-modeling-skills@b5b98ae,model-selection,FULL,modeling/model-selection,吸收并增强,增加算法族/领域上下文/失败条件
han69611/math-modeling-skills@b5b98ae,paper-score,EXCLUDED,audit/paper-review + final-review,主动排除评分,保留风险检查，不保留主观100分
han69611/math-modeling-skills@b5b98ae,project-manager,EXCLUDED,Competition Repo + mathmodel-pro,主动排除,目录与版本治理属于真实比赛仓库/Coach，不让 Hub 抢权
han69611/math-modeling-skills@b5b98ae,reviewer-mode,FULL,audit/paper-review,吸收,独立评委视角
han69611/math-modeling-skills@b5b98ae,visualization-review,FULL,visualization/visualization-review,吸收,可读性/语义/正文对应保留，固定600dpi等改为目标/官方要求驱动
